,District,Year-Month,CommName,Year,Month,Arrivals,Model,Weighted_Modal
193,Jagityal,2018-07-01,Paddy,2018,Jul,80.0,1216.375,1233.275
194,Jagityal,2018-08-01,Maize,2018,Aug,28.0,1196.25,1196.25
195,Jagityal,2018-08-01,Paddy,2018,Aug,56.0,1256.625,1256.625
196,Jagityal,2018-09-01,Cotton,2018,Sep,50.0,4800.0,4800.0
197,Jagityal,2018-09-01,Maize,2018,Sep,21.0,1456.0,1456.0
198,Jagityal,2018-09-01,Paddy,2018,Sep,1885.0,1938.0,1741.4376657824935
199,Jagityal,2018-10-01,Cotton,2018,Oct,482.0,5491.2,5466.898340248963
200,Jagityal,2018-10-01,Maize,2018,Oct,42349.5,1635.7073170731708,1666.303758013672
201,Jagityal,2018-10-01,Paddy,2018,Oct,6833.0,1775.142857142857,1780.3592858188204
202,Jagityal,2018-11-01,Cotton,2018,Nov,332.0,5582.5,5598.0722891566265
203,Jagityal,2018-11-01,Maize,2018,Nov,55450.5,1667.9921875,1676.3942164633322
204,Jagityal,2018-11-01,Paddy,2018,Nov,76674.2,1773.8779761904764,1777.9698647002513
205,Jagityal,2018-12-01,Cotton,2018,Dec,1393.0,5465.181818181818,5461.37688442211
206,Jagityal,2018-12-01,Paddy,2018,Dec,31780.8,1774.0833333333333,1773.1824560741077
207,Jagityal,2019-01-01,Cotton,2019,Jan,3252.0,5460.5,5446.334870848708
208,Jagityal,2019-01-01,Paddy,2019,Jan,3902.0,1835.25,1850.324705279344
209,Jagityal,2019-02-01,Cotton,2019,Feb,2304.0,5455.722222222223,5471.476996527777
210,Jagityal,2019-02-01,Maize,2019,Feb,121.0,1833.0,1832.2892561983472
211,Jagityal,2019-02-01,Paddy,2019,Feb,4471.0,1805.3666666666666,1824.7604562737642
212,Jagityal,2019-03-01,Cotton,2019,Mar,1587.0,5548.5,5549.79836168872
213,Jagityal,2019-03-01,Maize,2019,Mar,5867.0,1831.857142857143,1823.7884779273904
214,Jagityal,2019-03-01,Paddy,2019,Mar,1209.0,1890.6666666666667,1918.5401157981803
